fmid,vendor_id
1000003,1
1000008,2
1000009,3
1000012,4
1000021,5
1000022,6
1000023,7
1000030,8
1000050,9
1000052,10
1000055,11
1000056,12
1000058,13
1000062,14
1000063,15
1000065,16
1000068,17
1000072,18
1000075,19
1000076,20
1000077,21
1000079,22
1000080,23
1000081,24
1000085,25
1000100,26
1000103,27
1000104,28
1000118,29
1000119,30
1000130,31
1000133,32
1000146,33
1000155,34
1000158,35
1000162,36
1000166,37
1000175,38
1000183,39
1000187,40
1000188,41
1000189,42
1000197,43
1000199,44
1000204,45
1000205,46
1000206,47
1000207,48
1000212,49
1000224,50
1000235,51
1000236,52
1000247,53
1000249,54
1000254,55
1000256,56
1000263,57
1000265,58
1000274,59
1000275,60
1000279,61
1000280,62
1000283,63
1000284,64
1000290,65
1000297,66
1000301,67
1000303,68
1000306,69
1000309,70
1000312,71
1000323,72
1000324,73
1000325,74
1000334,75
1000368,76
1000372,77
1000374,78
1000387,79
1000389,80
1000390,81
1000392,82
1000398,83
1000406,84
1000410,85
1000411,86
1000423,87
1000430,88
1000431,89
1000442,90
1000449,91
1000462,92
1000481,93
1000483,94
1000485,95
1000487,96
1000489,97
1000495,98
1000499,99
1000501,100
1000513,101
1000521,102
1000522,103
1000545,104
1000548,105
1000549,106
1000550,107
1000560,108
1000562,109
1000567,110
1000571,111
1000579,112
1000590,113
1000591,114
1000603,115
1000604,116
1000605,117
1000606,118
1000608,119
1000611,120
1000614,121
1000634,122
1000638,123
1000640,124
1000666,125
1000667,126
1000672,127
1000673,128
1000676,129
1000680,130
1000681,131
1000686,132
1000690,133
1000695,134
1000699,135
1000701,136
1000710,137
1000719,138
1000721,139
1000722,140
1000723,141
1000730,142
1000732,143
1000734,144
1000760,145
1000779,146
1000782,147
1000785,148
1000790,149
1000791,150
1000795,151
1000799,152
1000801,153
1000803,154
1000804,155
1000805,156
1000814,157
1000819,158
1000820,159
1000826,160
1000831,161
1000840,162
1000841,163
1000842,164
1000843,165
1000844,166
1000845,167
1000846,168
1000855,169
1000857,170
1000859,171
1000873,172
1000874,173
1000877,174
1000880,175
1000884,176
1000887,177
1000892,178
1000896,179
1000898,180
1000902,181
1000906,182
1000910,183
1000922,184
1000924,185
1000929,186
1000935,187
1000938,188
1000964,189
1000965,190
1000968,191
1001009,192
1001012,193
1001018,194
1001023,195
1001025,196
1001026,197
1001034,198
1001038,199
1001046,200
1001047,201
1001052,202
1001059,203
1001086,204
1001093,205
1001097,206
1001098,207
1001102,208
1001115,209
1001120,210
1001133,211
1001142,212
1001156,213
1001161,214
1001175,215
1001179,216
1001180,217
1001186,218
1001190,219
1001191,220
1001192,221
1001199,222
1001211,223
1001215,224
1001217,225
1001221,226
1001242,227
1001244,228
1001247,229
1001260,230
1001284,231
1001287,232
1001290,233
1001296,234
1001298,235
1001309,236
1001314,237
1001316,238
1001318,239
1001319,240
1001320,241
1001321,242
1001329,243
1001331,244
1001347,245
1001357,246
1001378,247
1001386,248
1001390,249
1001397,250
1001399,251
1001400,252
1001403,253
1001405,254
1001411,255
1001424,256
1001432,257
1001442,258
1001460,259
1001461,260
1001462,261
1001467,262
1001473,263
1001483,264
1001486,265
1001522,266
1001523,267
1001528,268
1001533,269
1001535,270
1001541,271
1001545,272
1001557,273
1001558,274
1001570,275
1001575,276
1001594,277
1001596,278
1001599,279
1001602,280
1001603,281
1001615,282
1001625,283
1001626,284
1001627,285
1001632,286
1001640,287
1001644,288
1001646,289
1001648,290
1001651,291
1001653,292
1001654,293
1001657,294
1001661,295
1001664,296
1001665,297
1001667,298
1001675,299
1001676,300
