fmid,category_id
1000003,1
1000008,1
1000009,1
1000012,1
1000021,1
1000022,1
1000023,1
1000030,1
1000050,1
1000052,1
1000055,1
1000056,1
1000058,1
1000062,1
1000063,1
1000065,1
1000068,1
1000072,1
1000075,1
1000076,1
1000077,1
1000079,1
1000080,1
1000081,1
1000085,1
1000100,1
1000103,1
1000104,1
1000118,1
1000119,1
1000130,1
1000133,1
1000146,1
1000155,1
1000158,1
1000162,1
1000166,1
1000175,1
1000183,1
1000187,1
1000188,1
1000189,1
1000197,1
1000199,1
1000204,1
1000205,1
1000206,1
1000207,1
1000212,1
1000224,1
1000235,1
1000236,1
1000247,1
1000249,1
1000254,1
1000256,1
1000263,1
1000265,1
1000274,1
1000275,1
1000279,1
1000280,1
1000283,1
1000284,1
1000290,1
1000297,1
1000301,1
1000303,1
1000306,1
1000309,1
1000312,1
1000323,1
1000324,1
1000325,1
1000334,1
1000368,1
1000372,1
1000374,1
1000387,1
1000389,1
1000390,1
1000392,1
1000398,1
1000406,1
1000410,1
1000411,1
1000423,1
1000430,1
1000431,1
1000442,1
1000449,1
1000462,1
1000481,1
1000483,1
1000485,1
1000487,1
1000489,1
1000495,1
1000499,1
1000501,1
1000513,1
1000521,1
1000522,1
1000545,1
1000548,1
1000549,1
1000550,1
1000560,1
1000562,1
1000567,1
1000571,1
1000579,1
1000590,1
1000591,1
1000603,1
1000604,1
1000605,1
1000606,1
1000608,1
1000611,1
1000614,1
1000634,1
1000638,1
1000640,1
1000666,1
1000667,1
1000672,1
1000673,1
1000676,1
1000680,1
1000681,1
1000686,1
1000690,1
1000695,1
1000699,1
1000701,1
1000710,1
1000719,1
1000721,1
1000722,1
1000723,1
1000730,1
1000732,1
1000734,1
1000760,1
1000779,1
1000782,1
1000785,1
1000790,1
1000791,1
1000795,1
1000799,1
1000801,1
1000803,1
1000804,1
1000805,1
1000814,1
1000819,1
1000820,1
1000826,1
1000831,1
1000840,1
1000841,1
1000842,1
1000843,1
1000844,1
1000845,1
1000846,1
1000855,1
1000857,1
1000859,1
1000873,1
1000874,1
1000877,1
1000880,1
1000884,1
1000887,1
1000892,1
1000896,1
1000898,1
1000902,1
1000906,1
1000910,1
1000922,1
1000924,1
1000929,1
1000935,1
1000938,1
1000964,1
1000965,1
1000968,1
1001009,1
1001012,1
1001018,1
1001023,1
1001025,1
1001026,1
1001034,1
1001038,1
1001046,1
1001047,1
1001052,1
1001059,1
1001086,1
1001093,1
1001097,1
1001098,1
1001102,1
1001115,1
1001120,1
1001133,1
1001142,1
1001156,1
1001161,1
1001175,1
1001179,1
1001180,1
1001186,1
1001190,1
1001191,1
1001192,1
1001199,1
1001211,1
1001215,1
1001217,1
1001221,1
1001242,1
1001244,1
1001247,1
1001260,1
1001284,1
1001287,1
1001290,1
1001296,1
1001298,1
1001309,1
1001314,1
1001316,1
1001318,1
1001319,1
1001320,1
1001321,1
1001329,1
1001331,1
1001347,1
1001357,1
1001378,1
1001386,1
1001390,1
1001397,1
1001399,1
1001400,1
1001403,1
1001405,1
1001411,1
1001424,1
1001432,1
1001442,1
1001460,1
1001461,1
1001462,1
1001467,1
1001473,1
1001483,1
1001486,1
1001522,1
1001523,1
1001528,1
1001533,1
1001535,1
1001541,1
1001545,1
1001557,1
1001558,1
1001570,1
1001575,1
1001594,1
1001596,1
1001599,1
1001602,1
1001603,1
1001615,1
1001625,1
1001626,1
1001627,1
1001632,1
1001640,1
1001644,1
1001646,1
1001648,1
1001651,1
1001653,1
1001654,1
1001657,1
1001661,1
1001664,1
1001665,1
1001667,1
1001675,1
1001676,1
1001683,1
1001696,1
1001700,1
1001703,1
1001707,1
1001708,1
1001712,1
1001714,1
1001725,1
1001726,1
1001734,1
1001735,1
1001738,1
1001739,1
1001740,1
1001742,1
1001748,1
1001755,1
1001763,1
1001764,1
1001767,1
1001768,1
1001776,1
1001800,1
1001806,1
1001809,1
1001829,1
1001839,1
1001840,1
1001846,1
1001850,1
1001852,1
1001866,1
1001869,1
1001872,1
1001873,1
1001875,1
1001876,1
1001878,1
1001890,1
1001895,1
1001897,1
1001898,1
1001907,1
1001910,1
1001915,1
1001922,1
1001927,1
1001932,1
1001933,1
1001938,1
1001950,1
1001956,1
1001970,1
1001971,1
1001983,1
1001984,1
1001991,1
1001999,1
1002008,1
1002021,1
1002026,1
